#Pos            	flag            	chi             	d               	mean            	std             
-0.18000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.24600738E-002	 0.15268933E+000
-0.18000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.24582292E-002	 0.17103148E+000
-0.16000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.36310442E-002	 0.22104524E+000
-0.16000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.35731243E-002	 0.29030150E+000
-0.14000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.52247064E-002	 0.33097855E+000
-0.14000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.52304811E-002	 0.52478769E+000
-0.12000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.81851739E-002	 0.52556913E+000
-0.12000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.82269688E-002	 0.10971134E+001
-0.10000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.12999419E-001	 0.88233215E+000
-0.10000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.12761262E-001	 0.27523124E+001
-0.80000000E+000	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.22138566E-001	 0.16193461E+001
-0.80000000E+000	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.20959389E-001	 0.10336632E+002
-0.60000000E+000	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.38247517E-001	 0.33711618E+001
-0.60000000E+000	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.13419622E-001	 0.19066944E+003
-0.40000000E+000	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.17306245E+000	 0.12217537E+002
-0.40000000E+000	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.13594866E+000	 0.16587339E+003
-0.20000000E+000	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.16497753E+000	 0.11477643E+002
-0.20000000E+000	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.16215887E+000	 0.20170006E+002
 0.00000000E+000	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.16151367E+000	 0.11297343E+002
 0.00000000E+000	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.15974017E+000	 0.10601776E+002
 0.20000000E+000	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.16441146E+000	 0.11507903E+002
 0.20000000E+000	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.16329887E+000	 0.19437196E+002
 0.40000000E+000	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.17349706E+000	 0.12145870E+002
 0.40000000E+000	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.18729510E+000	 0.14071087E+003
 0.60000000E+000	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.39073955E-001	 0.33506541E+001
 0.60000000E+000	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.53777669E-001	 0.12424752E+003
 0.80000000E+000	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.21711640E-001	 0.16157777E+001
 0.80000000E+000	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.22149779E-001	 0.10567307E+002
 0.10000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.13239080E-001	 0.88095817E+000
 0.10000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.12720812E-001	 0.28117573E+001
 0.12000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.80875965E-002	 0.52272880E+000
 0.12000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.80711088E-002	 0.10913514E+001
 0.14000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.53164182E-002	 0.33288850E+000
 0.14000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.52866129E-002	 0.53787626E+000
 0.16000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.35383684E-002	 0.22054114E+000
 0.16000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.35382384E-002	 0.28728650E+000
 0.18000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.25014642E-002	 0.15333543E+000
 0.18000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.24840870E-002	 0.17306359E+000
 0.20000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	-0.18141237E-002	 0.10990816E+000
 0.20000000E+001	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	-0.17698431E-002	 0.11126016E+000
