##Nperloop      	chi             	dist            	Integ_flag      	Anlt            	Num_mean        	Num_std         
 0.20000000E+001	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.12699225E-004	 0.15664203E-003
 0.40000000E+001	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.30326622E-004	 0.18176338E-003
 0.80000000E+001	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.41558875E-004	 0.30806439E-003
 0.16000000E+002	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.47752547E-004	 0.50570763E-003
 0.32000000E+002	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.50960672E-004	 0.54995888E-003
 0.64000000E+002	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.52598915E-004	 0.57302478E-003
 0.12800000E+003	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.53422673E-004	 0.55949379E-003
 0.25600000E+003	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.53808815E-004	 0.53464315E-003
 0.51200000E+003	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.54014119E-004	 0.53590237E-003
 0.10240000E+004	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.54113447E-004	 0.53185770E-003
 0.20480000E+004	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.54169253E-004	 0.53625807E-003
 0.40960000E+004	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.54197326E-004	 0.53917149E-003
 0.81920000E+004	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.54209963E-004	 0.54018764E-003
 0.16384000E+005	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.53819909E-004	-0.54214619E-004	 0.53771944E-003
 0.20000000E+001	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.79389466E-003	 0.90454691E-002
 0.40000000E+001	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.19235292E-002	 0.10943327E-001
 0.80000000E+001	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.26155014E-002	 0.11488476E-001
 0.16000000E+002	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.29757300E-002	 0.12261555E-001
 0.32000000E+002	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.31521200E-002	 0.12630693E-001
 0.64000000E+002	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.32392661E-002	 0.13006642E-001
 0.12800000E+003	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.32811142E-002	 0.13125969E-001
 0.25600000E+003	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.33021042E-002	 0.13194887E-001
 0.51200000E+003	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.33127088E-002	 0.13243373E-001
 0.10240000E+004	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.33176862E-002	 0.13261205E-001
 0.20480000E+004	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.33203732E-002	 0.13276618E-001
 0.40960000E+004	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.33216345E-002	 0.13285515E-001
 0.81920000E+004	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.33223280E-002	 0.13290380E-001
 0.16384000E+005	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.33089083E-002	-0.33226394E-002	 0.13294344E-001
 0.20000000E+001	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.51027042E-001	-0.97053805E-002	 0.99741317E-001
 0.40000000E+001	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.51027042E-001	-0.27543544E-001	 0.16750894E+000
 0.80000000E+001	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.51027042E-001	-0.39991932E-001	 0.20923172E+000
 0.16000000E+002	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.51027042E-001	-0.46165546E-001	 0.20891247E+000
 0.32000000E+002	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.51027042E-001	-0.48911461E-001	 0.21163659E+000
 0.64000000E+002	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.51027042E-001	-0.50036850E-001	 0.20444070E+000
