##Nperloop      	chi             	dist            	Integ_flag      	Anlt            	Num_mean        	Num_std         
 0.40000000E+001	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.66765220E-006	 0.26334736E-005
 0.40000000E+001	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.32918024E-002	 0.12888934E-001
 0.40000000E+001	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.64766534E-001	 0.26720794E+000
 0.40000000E+001	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.82512578E-001	 0.34299276E+000
 0.80000000E+001	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67111103E-006	 0.22538729E-005
 0.80000000E+001	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.36524485E-002	 0.11810430E-001
 0.80000000E+001	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.11257932E+000	 0.37108581E+000
 0.80000000E+001	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.15414717E+000	 0.51619587E+000
 0.16000000E+002	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67157166E-006	 0.22885303E-005
 0.16000000E+002	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.37978732E-002	 0.12198388E-001
 0.16000000E+002	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.15638007E+000	 0.45764659E+000
 0.16000000E+002	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.23201498E+000	 0.69136841E+000
 0.32000000E+002	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67190220E-006	 0.24156317E-005
 0.32000000E+002	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38533363E-002	 0.12965522E-001
 0.32000000E+002	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.18773353E+000	 0.51796064E+000
 0.32000000E+002	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.30355423E+000	 0.84440388E+000
 0.64000000E+002	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67158524E-006	 0.25438405E-005
 0.64000000E+002	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38707505E-002	 0.13697527E-001
 0.64000000E+002	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.20585497E+000	 0.55795763E+000
 0.64000000E+002	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.36260853E+000	 0.96776224E+000
 0.12800000E+003	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67154782E-006	 0.26447154E-005
 0.12800000E+003	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38775423E-002	 0.14271079E-001
 0.12800000E+003	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.21459840E+000	 0.58561485E+000
 0.12800000E+003	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.40793285E+000	 0.10604296E+001
 0.25600000E+003	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67179740E-006	 0.27194370E-005
 0.25600000E+003	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38814073E-002	 0.14690298E-001
 0.25600000E+003	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.21831144E+000	 0.60613300E+000
 0.25600000E+003	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.44075362E+000	 0.11271796E+001
 0.51200000E+003	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67164030E-006	 0.27776065E-005
 0.51200000E+003	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38813338E-002	 0.15009379E-001
 0.51200000E+003	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.21973143E+000	 0.62104960E+000
 0.51200000E+003	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.46330977E+000	 0.11725907E+001
 0.10240000E+004	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67208908E-006	 0.28143975E-005
 0.10240000E+004	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38839905E-002	 0.15218575E-001
 0.10240000E+004	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.22030034E+000	 0.63167648E+000
 0.10240000E+004	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.47780239E+000	 0.12030108E+001
 0.20480000E+004	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67173215E-006	 0.28394703E-005
 0.20480000E+004	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38823533E-002	 0.15368127E-001
 0.20480000E+004	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.22039498E+000	 0.63902527E+000
 0.20480000E+004	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.48634081E+000	 0.12220881E+001
 0.40960000E+004	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67162781E-006	 0.28655806E-005
 0.40960000E+004	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38818630E-002	 0.15505350E-001
 0.40960000E+004	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.22049602E+000	 0.64458535E+000
 0.40960000E+004	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.49107991E+000	 0.12349153E+001
 0.81920000E+004	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67161183E-006	 0.28742895E-005
 0.81920000E+004	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38821461E-002	 0.15559384E-001
 0.81920000E+004	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.22053967E+000	 0.64844327E+000
 0.81920000E+004	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.49321296E+000	 0.12433115E+001
 0.16384000E+005	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67197817E-006	 0.28904331E-005
 0.16384000E+005	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38837132E-002	 0.15637729E-001
 0.16384000E+005	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.22061501E+000	 0.65110510E+000
 0.16384000E+005	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.49438717E+000	 0.12495014E+001
 0.32768000E+005	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67170072E-006	 0.28978893E-005
 0.32768000E+005	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38820606E-002	 0.15683297E-001
 0.32768000E+005	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.22050451E+000	 0.65311612E+000
 0.32768000E+005	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.49450680E+000	 0.12534129E+001
 0.65536000E+005	 0.10000000E-001	 0.10000000E+001	 0.20000000E+001	 0.57270213E-006	 0.67137103E-006	 0.29032125E-005
 0.65536000E+005	 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.38806417E-002	 0.15715447E-001
 0.65536000E+005	 0.10000000E+003	 0.10000000E+001	 0.20000000E+001	 0.18778375E+000	 0.22049580E+000	 0.65511129E+000
 0.65536000E+005	 0.10000000E+005	 0.10000000E+001	 0.20000000E+001	 0.42105501E+000	 0.49464990E+000	 0.12573398E+001
