##Chi           	dist            	Integ_flag      	Anlt            	Num_mean        	Num_std         
 0.61035156E-004	 0.10000000E+001	 0.20000000E+001	 0.21484825E-010	 0.23300862E-010	 0.99959436E-010
 0.12207031E-003	 0.10000000E+001	 0.20000000E+001	 0.85940242E-010	 0.93199392E-010	 0.39981793E-009
 0.24414062E-003	 0.10000000E+001	 0.20000000E+001	 0.34373596E-009	 0.37276507E-009	 0.15991132E-008
 0.48828125E-003	 0.10000000E+001	 0.20000000E+001	 0.13747106E-008	 0.14908004E-008	 0.63951855E-008
 0.97656250E-003	 0.10000000E+001	 0.20000000E+001	 0.54969309E-008	 0.59611230E-008	 0.25570608E-007
 0.19531250E-002	 0.10000000E+001	 0.20000000E+001	 0.21972402E-007	 0.23827882E-007	 0.10220145E-006
 0.39062500E-002	 0.10000000E+001	 0.20000000E+001	 0.87767216E-007	 0.95178911E-007	 0.40815936E-006
 0.78125000E-002	 0.10000000E+001	 0.20000000E+001	 0.35009356E-006	 0.37965894E-006	 0.16274888E-005
 0.15625000E-001	 0.10000000E+001	 0.20000000E+001	 0.13926336E-005	 0.15102491E-005	 0.64691266E-005
 0.31250000E-001	 0.10000000E+001	 0.20000000E+001	 0.55095801E-005	 0.59749539E-005	 0.25555531E-004
 0.62500000E-001	 0.10000000E+001	 0.20000000E+001	 0.21565718E-004	 0.23387676E-004	 0.99741153E-004
 0.12500000E+000	 0.10000000E+001	 0.20000000E+001	 0.82704114E-004	 0.89694487E-004	 0.38039997E-003
 0.25000000E+000	 0.10000000E+001	 0.20000000E+001	 0.30544583E-003	 0.33128188E-003	 0.13907361E-002
 0.50000000E+000	 0.10000000E+001	 0.20000000E+001	 0.10572251E-002	 0.11467572E-002	 0.47306037E-002
 0.10000000E+001	 0.10000000E+001	 0.20000000E+001	 0.33089083E-002	 0.35895791E-002	 0.14409478E-001
 0.20000000E+001	 0.10000000E+001	 0.20000000E+001	 0.90407076E-002	 0.98089670E-002	 0.37919828E-001
 0.40000000E+001	 0.10000000E+001	 0.20000000E+001	 0.21113883E-001	 0.22911276E-001	 0.84577915E-001
 0.80000000E+001	 0.10000000E+001	 0.20000000E+001	 0.42138957E-001	 0.45731815E-001	 0.16043079E+000
 0.16000000E+002	 0.10000000E+001	 0.20000000E+001	 0.73028769E-001	 0.79264047E-001	 0.26395688E+000
 0.32000000E+002	 0.10000000E+001	 0.20000000E+001	 0.11245687E+000	 0.12207149E+000	 0.38662538E+000
 0.64000000E+002	 0.10000000E+001	 0.20000000E+001	 0.15747322E+000	 0.17095536E+000	 0.51700994E+000
 0.12800000E+003	 0.10000000E+001	 0.20000000E+001	 0.20459867E+000	 0.22213960E+000	 0.64477386E+000
 0.25600000E+003	 0.10000000E+001	 0.20000000E+001	 0.25072464E+000	 0.27224465E+000	 0.76265938E+000
 0.51200000E+003	 0.10000000E+001	 0.20000000E+001	 0.29357227E+000	 0.31878459E+000	 0.86669979E+000
 0.10240000E+004	 0.10000000E+001	 0.20000000E+001	 0.33178459E+000	 0.36025598E+000	 0.95553550E+000
 0.20480000E+004	 0.10000000E+001	 0.20000000E+001	 0.36475784E+000	 0.39598974E+000	 0.10295271E+001
 0.40960000E+004	 0.10000000E+001	 0.20000000E+001	 0.39248616E+000	 0.42591291E+000	 0.10900020E+001
 0.81920000E+004	 0.10000000E+001	 0.20000000E+001	 0.41531859E+000	 0.45031333E+000	 0.11387079E+001
 0.16384000E+005	 0.10000000E+001	 0.20000000E+001	 0.43379944E+000	 0.46966817E+000	 0.11774287E+001
 0.32768000E+005	 0.10000000E+001	 0.20000000E+001	 0.44854764E+000	 0.48457298E+000	 0.12077489E+001
