##Nperloop      	chi             	dist            	Integ_flag      	Anlt            	Num_mean        	Num_std         
 0.20000000E+001	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.12731068E-002	 0.80562942E-002
 0.40000000E+001	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.18407209E-002	 0.90181140E-002
 0.80000000E+001	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.21259617E-002	 0.96541325E-002
 0.16000000E+002	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.22641239E-002	 0.99931169E-002
 0.32000000E+002	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.23299223E-002	 0.10086987E-001
 0.64000000E+002	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.23647310E-002	 0.10248343E-001
 0.12800000E+003	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.23807619E-002	 0.10311464E-001
 0.25600000E+003	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.23882073E-002	 0.10339160E-001
 0.51200000E+003	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.23923079E-002	 0.10373010E-001
 0.10240000E+004	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.23944655E-002	 0.10390890E-001
 0.20480000E+004	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.23955281E-002	 0.10400543E-001
 0.40960000E+004	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.23960748E-002	 0.10405087E-001
 0.81920000E+004	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.23963853E-002	 0.10407124E-001
 0.16384000E+005	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.23965398E-002	 0.10407815E-001
 0.32768000E+005	 0.10000000E+000	 0.10000000E+001	 0.10000000E+001	 0.24148208E-002	 0.12188206E-002	 0.52914608E-002
 0.20000000E+001	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.96610749E-002	 0.61722448E-001
 0.40000000E+001	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.14580963E-001	 0.83873222E-001
 0.80000000E+001	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.16923343E-001	 0.10086251E+000
 0.16000000E+002	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.17990394E-001	 0.10375034E+000
 0.32000000E+002	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.18508852E-001	 0.10790426E+000
 0.64000000E+002	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.18762810E-001	 0.10880526E+000
 0.12800000E+003	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.18893047E-001	 0.11079440E+000
 0.25600000E+003	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.18948731E-001	 0.11045319E+000
 0.51200000E+003	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.18980280E-001	 0.11075747E+000
 0.10240000E+004	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.18993304E-001	 0.11066190E+000
 0.20480000E+004	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.19001070E-001	 0.11090230E+000
 0.40960000E+004	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.19004276E-001	 0.11085495E+000
 0.81920000E+004	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.19006016E-001	 0.11088260E+000
 0.16384000E+005	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.19006701E-001	 0.11087891E+000
 0.32768000E+005	 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.18873092E-001	 0.10762152E-001	 0.62030068E-001
 0.20000000E+001	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.27431740E-001	 0.17223723E+000
 0.40000000E+001	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.48914953E-001	 0.26491326E+000
 0.80000000E+001	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.60799176E-001	 0.30097495E+000
 0.16000000E+002	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.66511461E-001	 0.31546129E+000
 0.32000000E+002	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.68836739E-001	 0.32119520E+000
 0.64000000E+002	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.69852991E-001	 0.32270165E+000
 0.12800000E+003	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.70251012E-001	 0.32371700E+000
 0.25600000E+003	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.70429508E-001	 0.32428509E+000
 0.51200000E+003	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.70488612E-001	 0.32559530E+000
 0.10240000E+004	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.70527099E-001	 0.32613628E+000
 0.20480000E+004	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.70548950E-001	 0.32626773E+000
 0.40960000E+004	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.70556988E-001	 0.32610273E+000
 0.81920000E+004	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.70561407E-001	 0.32612173E+000
 0.16384000E+005	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.70565893E-001	 0.32621353E+000
 0.32768000E+005	 0.10000000E+002	 0.10000000E+001	 0.10000000E+001	 0.71291040E-001	 0.52154828E-001	 0.23996220E+000
 0.20000000E+001	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.31957890E-001	 0.18194589E+000
 0.40000000E+001	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.62644399E-001	 0.33009487E+000
 0.80000000E+001	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.87604497E-001	 0.47859723E+000
 0.16000000E+002	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.10446197E+000	 0.57823759E+000
 0.32000000E+002	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.11511787E+000	 0.60917774E+000
 0.64000000E+002	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.12058653E+000	 0.61161850E+000
 0.12800000E+003	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.12306456E+000	 0.61548102E+000
 0.25600000E+003	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.12403647E+000	 0.61526531E+000
 0.51200000E+003	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.12426770E+000	 0.61269405E+000
 0.10240000E+004	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.12442130E+000	 0.61075909E+000
 0.20480000E+004	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.12450251E+000	 0.61137564E+000
 0.40960000E+004	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.12451259E+000	 0.61074156E+000
 0.81920000E+004	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.12451529E+000	 0.61040155E+000
 0.16384000E+005	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.12451923E+000	 0.61042631E+000
 0.32768000E+005	 0.10000000E+003	 0.10000000E+001	 0.10000000E+001	 0.12491818E+000	 0.11116195E+000	 0.53544954E+000
