##Nperloop      	chi             	dist            	Integ_flag      	Anlt            	Num_mean        	Num_std         
 0.40000000E+001	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24796092E-003	 0.15592511E-002
 0.40000000E+001	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.17127200E-001	 0.10230357E+000
 0.40000000E+001	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.51644240E-001	 0.29916826E+000
 0.40000000E+001	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.51974619E-001	 0.30108990E+000
 0.80000000E+001	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24896429E-003	 0.15856466E-002
 0.80000000E+001	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18211027E-001	 0.10555183E+000
 0.80000000E+001	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.72823949E-001	 0.37234364E+000
 0.80000000E+001	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.73836017E-001	 0.37733390E+000
 0.16000000E+002	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24934710E-003	 0.16832273E-002
 0.16000000E+002	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18649941E-001	 0.11222209E+000
 0.16000000E+002	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.91868713E-001	 0.43499936E+000
 0.16000000E+002	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.94433420E-001	 0.44601295E+000
 0.32000000E+002	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24885005E-003	 0.17616402E-002
 0.32000000E+002	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18770372E-001	 0.11761865E+000
 0.32000000E+002	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.10638881E+000	 0.47981274E+000
 0.32000000E+002	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.11189972E+000	 0.50093615E+000
 0.64000000E+002	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24891186E-003	 0.18343459E-002
 0.64000000E+002	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18825635E-001	 0.12241948E+000
 0.64000000E+002	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.11586215E+000	 0.50891995E+000
 0.64000000E+002	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.12595247E+000	 0.54361317E+000
 0.12800000E+003	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24923828E-003	 0.18884106E-002
 0.12800000E+003	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18868714E-001	 0.12618029E+000
 0.12800000E+003	 0.10000000E+003	 0.22000000E+001	 0.20000000E+001	 0.12491818E+000	 0.12107798E+000	 0.52753653E+000
 0.12800000E+003	 0.10000000E+005	 0.22000000E+001	 0.20000000E+001	 0.16176377E+000	 0.13689162E+000	 0.57662701E+000
 0.25600000E+003	 0.10000000E-001	 0.22000000E+001	 0.20000000E+001	 0.24911146E-003	 0.24912889E-003	 0.19252158E-002
 0.25600000E+003	 0.10000000E+001	 0.22000000E+001	 0.20000000E+001	 0.18873092E-001	 0.18873698E-001	 0.12871846E+000
