##Chi                	dist                	Integ_flag          	Anlt                	Num_mean            	Num_std             
     6.10351562E-005	     3.50000000E+000	     1.00000000E+000	     1.52584471E-006	     2.30680569E-006	     1.05512145E-005
     1.22070312E-004	     3.50000000E+000	     1.00000000E+000	     3.05162575E-006	     4.61351085E-006	     2.11020483E-005
     2.44140625E-004	     3.50000000E+000	     1.00000000E+000	     6.10298366E-006	     9.22661963E-006	     4.22025739E-005
     4.88281250E-004	     3.50000000E+000	     1.00000000E+000	     1.22049032E-005	     1.84516312E-005	     8.43990584E-005
     9.76562500E-004	     3.50000000E+000	     1.00000000E+000	     2.44055516E-005	     3.68968327E-005	     1.68773768E-004
     1.95312500E-003	     3.50000000E+000	     1.00000000E+000	     4.87940976E-005	     7.37679645E-005	     3.37450216E-004
     3.90625000E-003	     3.50000000E+000	     1.00000000E+000	     9.75202689E-005	     1.47433272E-004	     6.74511742E-004
     7.81250000E-003	     3.50000000E+000	     1.00000000E+000	     1.94769604E-004	     2.94457085E-004	     1.34747342E-003
     1.56250000E-002	     3.50000000E+000	     1.00000000E+000	     3.88461583E-004	     5.87285609E-004	     2.68878382E-003
     3.12500000E-002	     3.50000000E+000	     1.00000000E+000	     7.72660822E-004	     1.16813001E-003	     5.35320838E-003
     6.25000000E-002	     3.50000000E+000	     1.00000000E+000	     1.52864592E-003	     2.31106193E-003	     1.06112435E-002
     1.25000000E-001	     3.50000000E+000	     1.00000000E+000	     2.99340567E-003	     4.52560207E-003	     2.08587378E-002
     2.50000000E-001	     3.50000000E+000	     1.00000000E+000	     5.75138893E-003	     8.69560760E-003	     4.03820081E-002
     5.00000000E-001	     3.50000000E+000	     1.00000000E+000	     1.06919358E-002	     1.61669210E-002	     7.61837540E-002
     1.00000000E+000	     3.50000000E+000	     1.00000000E+000	     1.88730920E-002	     2.85444766E-002	     1.38190699E-001
     2.00000000E+000	     3.50000000E+000	     1.00000000E+000	     3.10297174E-002	     4.69561224E-002	     2.37885011E-001
     4.00000000E+000	     3.50000000E+000	     1.00000000E+000	     4.69309523E-002	     7.10910446E-002	     3.84440435E-001
     8.00000000E+000	     3.50000000E+000	     1.00000000E+000	     6.52150892E-002	     9.89442395E-002	     5.76141261E-001
     1.60000000E+001	     3.50000000E+000	     1.00000000E+000	     8.39546741E-002	     1.27630989E-001	     7.89834793E-001
     3.20000000E+001	     3.50000000E+000	     1.00000000E+000	     1.01435561E-001	     1.54530112E-001	     9.89292283E-001
     6.40000000E+001	     3.50000000E+000	     1.00000000E+000	     1.16593879E-001	     1.77935675E-001	     1.15290449E+000
     1.28000000E+002	     3.50000000E+000	     1.00000000E+000	     1.29035079E-001	     1.97094861E-001	     1.27834085E+000
     2.56000000E+002	     3.50000000E+000	     1.00000000E+000	     1.38838758E-001	     2.12018457E-001	     1.36854751E+000
     5.12000000E+002	     3.50000000E+000	     1.00000000E+000	     1.46336582E-001	     2.23233155E-001	     1.42865019E+000
     1.02400000E+003	     3.50000000E+000	     1.00000000E+000	     1.51947138E-001	     2.31476260E-001	     1.46590157E+000
     2.04800000E+003	     3.50000000E+000	     1.00000000E+000	     1.56079401E-001	     2.37445784E-001	     1.48811480E+000
     4.09600000E+003	     3.50000000E+000	     1.00000000E+000	     1.59088099E-001	     2.41666722E-001	     1.50142361E+000
     8.19200000E+003	     3.50000000E+000	     1.00000000E+000	     1.61260622E-001	     2.44493916E-001	     1.50937325E+000
     1.63840000E+004	     3.50000000E+000	     1.00000000E+000	     1.62820011E-001	     2.46212922E-001	     1.51388193E+000
     3.27680000E+004	     3.50000000E+000	     1.00000000E+000	     1.63934510E-001	     2.47129763E-001	     1.51620064E+000
