#chi            	flag            	d               	anlt            	mean            	std             
 0.19531250E-002	 0.10000000E+001	 0.10000000E+001	 0.31388087E-006	 0.31427775E-006	 0.32030514E-004
 0.39062500E-002	 0.10000000E+001	 0.10000000E+001	 0.12528993E-005	 0.12598857E-005	 0.15979938E-003
 0.78125000E-002	 0.10000000E+001	 0.10000000E+001	 0.49907074E-005	 0.50250652E-005	 0.51107987E-003
 0.15625000E-001	 0.10000000E+001	 0.10000000E+001	 0.19797340E-004	 0.19870265E-004	 0.22214550E-002
 0.31250000E-001	 0.10000000E+001	 0.10000000E+001	 0.77890989E-004	 0.78298497E-004	 0.69423392E-002
 0.62500000E-001	 0.10000000E+001	 0.10000000E+001	 0.30156919E-003	 0.30304342E-003	 0.30855216E-001
 0.12500000E+000	 0.10000000E+001	 0.10000000E+001	 0.11321062E-002	 0.11343041E-002	 0.13396545E+000
 0.25000000E+000	 0.10000000E+001	 0.10000000E+001	 0.40143736E-002	 0.40450989E-002	 0.65521125E+000
 0.50000000E+000	 0.10000000E+001	 0.10000000E+001	 0.12898378E-001	 0.12927230E-001	 0.25105885E+001
 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.35576362E-001	 0.36007666E-001	 0.71239852E+001
 0.20000000E+001	 0.10000000E+001	 0.10000000E+001	 0.80227145E-001	 0.80521272E-001	 0.21498736E+002
 0.40000000E+001	 0.10000000E+001	 0.10000000E+001	 0.14554338E+000	 0.14624563E+000	 0.63401239E+002
 0.80000000E+001	 0.10000000E+001	 0.10000000E+001	 0.21820187E+000	 0.22087247E+000	 0.60981118E+002
 0.16000000E+002	 0.10000000E+001	 0.10000000E+001	 0.28444148E+000	 0.29440608E+000	 0.85587392E+002
 0.32000000E+002	 0.10000000E+001	 0.10000000E+001	 0.33836094E+000	 0.36492564E+000	 0.12824756E+003
 0.64000000E+002	 0.10000000E+001	 0.10000000E+001	 0.38004129E+000	 0.42479267E+000	 0.17475458E+003
 0.12800000E+003	 0.10000000E+001	 0.10000000E+001	 0.41156962E+000	 0.47337714E+000	 0.25339200E+003
 0.25600000E+003	 0.10000000E+001	 0.10000000E+001	 0.43514057E+000	 0.50724454E+000	 0.31602665E+003
 0.51200000E+003	 0.10000000E+001	 0.10000000E+001	 0.45259519E+000	 0.52454226E+000	 0.18701508E+003
 0.10240000E+004	 0.10000000E+001	 0.10000000E+001	 0.46540599E+000	 0.55720881E+000	 0.36544918E+003
