#chi            	flag            	d               	anlt            	mean            	std             
 0.39062500E-002	 0.10000000E+001	 0.10000000E+001	 0.12528993E-005	 0.49850206E-004	 0.33272662E-002
 0.39062500E-002	 0.20000000E+001	 0.10000000E+001	 0.12528993E-005	 0.10463763E-004	 0.71571141E+000
 0.15625000E-001	 0.10000000E+001	 0.10000000E+001	 0.19797340E-004	 0.77877072E-003	 0.55705412E-001
 0.15625000E-001	 0.20000000E+001	 0.10000000E+001	 0.19797340E-004	-0.26292570E-004	 0.68951438E+001
 0.62500000E-001	 0.10000000E+001	 0.10000000E+001	 0.30156919E-003	 0.11960504E-001	 0.92974160E+000
 0.62500000E-001	 0.20000000E+001	 0.10000000E+001	 0.30156919E-003	-0.39892289E-003	 0.13648732E+003
 0.25000000E+000	 0.10000000E+001	 0.10000000E+001	 0.40143736E-002	 0.15976697E+000	 0.45386381E+002
 0.25000000E+000	 0.20000000E+001	 0.10000000E+001	 0.40143736E-002	 0.15461210E-001	 0.70705562E+002
 0.10000000E+001	 0.10000000E+001	 0.10000000E+001	 0.35576362E-001	 0.14681003E+001	 0.20946519E+003
 0.10000000E+001	 0.20000000E+001	 0.10000000E+001	 0.35576362E-001	 0.16621903E+000	 0.17504934E+004
 0.40000000E+001	 0.10000000E+001	 0.10000000E+001	 0.14554338E+000	 0.59883908E+001	 0.10667477E+004
 0.40000000E+001	 0.20000000E+001	 0.10000000E+001	 0.14554338E+000	 0.47858858E+000	 0.56498743E+004
 0.16000000E+002	 0.10000000E+001	 0.10000000E+001	 0.28444148E+000	 0.11523804E+002	 0.25211286E+004
 0.16000000E+002	 0.20000000E+001	 0.10000000E+001	 0.28444148E+000	 0.75275217E+000	 0.38483453E+005
 0.64000000E+002	 0.10000000E+001	 0.10000000E+001	 0.38004129E+000	 0.16054379E+002	 0.68154097E+004
 0.64000000E+002	 0.20000000E+001	 0.10000000E+001	 0.38004129E+000	 0.17704926E+001	 0.21651343E+005
 0.25600000E+003	 0.10000000E+001	 0.10000000E+001	 0.43514057E+000	 0.19305080E+002	 0.20355168E+005
 0.25600000E+003	 0.20000000E+001	 0.10000000E+001	 0.43514057E+000	 0.18102573E+001	 0.11506923E+005
 0.10240000E+004	 0.10000000E+001	 0.10000000E+001	 0.46540599E+000	 0.21033970E+002	 0.43501398E+005
 0.10240000E+004	 0.20000000E+001	 0.10000000E+001	 0.46540599E+000	 0.19605133E+001	 0.10853244E+005
