# Data for Scalar_Monte code:
# Col #1 chi 
# Col #2 Flag 1: TM1, 2: TM2 3: TE 
# Col #2 Number of points per loop 
# Col #3 Total Number of trajectories 
# Col #4 Analytical efficiency 
# Col #5 Numerical efficiency 
# Col #6 Numerical efficiency error 

#chi            	Nperloop        	ds_grad_size    	Routine_flag    	Anlt_eff        	mean_num_eff    	Std_err_eff     	     Std_Error_2
 0.19531250E-002	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.69652461E-003	 0.10451679E-002	 0.14359989E-004	 0.15634325E-005
 0.39062500E-002	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.13915926E-002	 0.20887116E-002	 0.27673091E-004	 0.28449951E-005
 0.78125000E-002	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.27773775E-002	 0.41633074E-002	 0.55748360E-004	 0.54079828E-005
 0.15625000E-001	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.55316762E-002	 0.83102954E-002	 0.11414116E-003	 0.11407141E-004
 0.31250000E-001	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.10972228E-001	 0.16526840E-001	 0.22089538E-003	 0.26443583E-004
 0.62500000E-001	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.21589217E-001	 0.32574164E-001	 0.44573998E-003	 0.53995602E-004
 0.12500000E+000	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.41827115E-001	 0.63512838E-001	 0.32095786E-002	 0.37008868E-003
 0.25000000E+000	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.78745003E-001	 0.11703611E+000	 0.10466068E-001	 0.10559753E-002
 0.50000000E+000	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.14105035E+000	 0.21130019E+000	 0.31774633E-001	 0.29581316E-002
 0.10000000E+001	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.23383232E+000	 0.34701224E+000	 0.69136503E-001	 0.81370907E-002
 0.20000000E+001	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.34989108E+000	 0.53062776E+000	 0.11593339E+000	 0.13714436E-001
 0.40000000E+001	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.46874553E+000	 0.73110186E+000	 0.16038879E+000	 0.16823260E-001
 0.80000000E+001	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.57031451E+000	 0.84156067E+000	 0.20998401E+000	 0.22300257E-001
 0.16000000E+002	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.64697295E+000	 0.99710699E+000	 0.24159327E+000	 0.26491173E-001
 0.32000000E+002	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.70140580E+000	 0.10610106E+001	 0.25286004E+000	 0.31093376E-001
 0.64000000E+002	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.73939456E+000	 0.11391815E+001	 0.27353298E+000	 0.28315924E-001
 0.12800000E+003	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.76597226E+000	 0.11603475E+001	 0.29428840E+000	 0.28849920E-001
 0.25600000E+003	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.78469521E+000	 0.11892013E+001	 0.29821341E+000	 0.36174879E-001
 0.51200000E+003	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.79795567E+000	 0.11945342E+001	 0.31553196E+000	 0.33209229E-001
 0.10240000E+004	 0.10000000E+003	 0.10000000E+000	 0.20000000E+001	-0.80737285E+000	 0.13540560E+001	 0.31017578E+000	 0.35715197E-001
