#chi            	Position        	Nperloop        	ds_grad_size    	Routine_flag    	Anlt_eff        	mean_num_eff    	Std_err_eff     
 0.19531250E-002	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.69653093E-003	 0.71461114E-003	 0.30110574E+000
 0.39062500E-002	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.13916052E-002	 0.14277345E-002	 0.60202077E+000
 0.78125000E-002	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.27774027E-002	 0.28495397E-002	 0.12033054E+001
 0.15625000E-001	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.55317264E-002	 0.56755334E-002	 0.24038770E+001
 0.31250000E-001	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.10972328E-001	 0.11258223E-001	 0.47984484E+001
 0.62500000E-001	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.21589411E-001	 0.22436498E-001	 0.99452428E+001
 0.12500000E+000	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.41827492E-001	 0.43119742E-001	 0.23244860E+002
 0.25000000E+000	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.78745707E-001	 0.80131920E-001	 0.42509225E+002
 0.50000000E+000	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.14105160E+000	 0.14544621E+000	 0.10171919E+003
 0.10000000E+001	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.23383427E+000	 0.24366102E+000	 0.17955215E+003
 0.20000000E+001	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.34989395E+000	 0.36406197E+000	 0.32215655E+003
 0.40000000E+001	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.46874937E+000	 0.45042987E+000	 0.98239426E+003
 0.80000000E+001	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.57031910E+000	 0.56758899E+000	 0.70295321E+003
 0.16000000E+002	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.64697815E+000	 0.67279603E+000	 0.80925746E+003
 0.32000000E+002	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.70141136E+000	 0.74647202E+000	 0.10196740E+004
 0.64000000E+002	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.73940059E+000	 0.75364171E+000	 0.10480496E+004
 0.12800000E+003	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.76597888E+000	 0.78651194E+000	 0.94188659E+003
 0.25600000E+003	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.78470178E+000	 0.81860687E+000	 0.10783849E+004
 0.51200000E+003	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.79796221E+000	 0.81856164E+000	 0.11277456E+004
 0.10240000E+004	 0.00000000E+000	 0.20000000E+003	 0.50000000E-001	 0.20000000E+001	-0.80737957E+000	 0.82761467E+000	 0.10733355E+004
