#chi            	Position        	Nperloop        	ds_grad_size    	Routine_flag    	Anlt_eff        	mean_num_eff    	Std_err_eff     
 0.19531250E-002	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.69653093E-003	 0.71675235E-003	 0.11801357E+001
 0.39062500E-002	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.13916052E-002	 0.14123380E-002	 0.23484393E+001
 0.78125000E-002	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.27774027E-002	 0.28184954E-002	 0.46955246E+001
 0.15625000E-001	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.55317264E-002	 0.56124135E-002	 0.93874674E+001
 0.31250000E-001	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.10972328E-001	 0.11127650E-001	 0.18774838E+002
 0.62500000E-001	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.21589411E-001	 0.21402726E-001	 0.38111843E+002
 0.12500000E+000	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.41827492E-001	 0.43299113E-001	 0.77153201E+002
 0.25000000E+000	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.78745707E-001	 0.81070618E-001	 0.15425676E+003
 0.50000000E+000	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.14105160E+000	 0.14343979E+000	 0.29865005E+003
 0.10000000E+001	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.23383427E+000	 0.23025223E+000	 0.61857545E+003
 0.20000000E+001	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.34989395E+000	 0.38429781E+000	 0.10818083E+004
 0.40000000E+001	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.46874937E+000	 0.44648285E+000	 0.18142548E+004
 0.80000000E+001	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.57031910E+000	 0.59907226E+000	 0.25740033E+004
 0.16000000E+002	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.64697815E+000	 0.69062561E+000	 0.32427345E+004
 0.32000000E+002	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.70141136E+000	 0.73133875E+000	 0.36676679E+004
 0.64000000E+002	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.73940059E+000	 0.79135296E+000	 0.39792288E+004
 0.12800000E+003	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.76597888E+000	 0.76104034E+000	 0.41891576E+004
 0.25600000E+003	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.78470178E+000	 0.79018444E+000	 0.42121915E+004
 0.51200000E+003	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.79796221E+000	 0.83482118E+000	 0.43123088E+004
 0.10240000E+004	-0.50000000E+000	 0.40000000E+003	 0.50000000E-001	 0.20000000E+001	-0.80737957E+000	 0.86740523E+000	 0.42949767E+004
