#Nperloop       	flag            	chi             	surf_dist       	Time            	time_taken      	anlt            	num_mean        	num_std         
 0.10000000E+002	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.43828145E+001	 0.13080503E+001	 0.13081809E+001	 0.14036841E+001
 0.10000000E+002	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.64725123E+000	 0.13080503E+001	 0.13080441E+001	 0.17124143E+001
 0.10000000E+002	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.12243554E+001	 0.13080503E+001	 0.13081406E+001	 0.16343534E+001
 0.10000000E+002	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.48305821E+001	 0.13080503E+001	 0.13080337E+001	 0.14062585E+001
 0.20000000E+002	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.91350792E+001	 0.13080503E+001	 0.13080438E+001	 0.14786016E+001
 0.20000000E+002	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.11848640E+001	 0.13080503E+001	 0.13081041E+001	 0.21422157E+001
 0.20000000E+002	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.24734115E+001	 0.13080503E+001	 0.13078594E+001	 0.18004997E+001
 0.20000000E+002	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10279910E+002	 0.13080503E+001	 0.13080828E+001	 0.14737799E+001
 0.40000000E+002	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.18515446E+002	 0.13080503E+001	 0.13079511E+001	 0.16112938E+001
 0.40000000E+002	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.23017811E+001	 0.13080503E+001	 0.13081305E+001	 0.33331406E+001
 0.40000000E+002	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.51134383E+001	 0.13080503E+001	 0.13081815E+001	 0.20165257E+001
 0.40000000E+002	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.21288589E+002	 0.13080503E+001	 0.13081485E+001	 0.15674357E+001
 0.80000000E+002	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.35893530E+002	 0.13080503E+001	 0.13080555E+001	 0.18649594E+001
 0.80000000E+002	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.44522369E+001	 0.13080503E+001	 0.13077773E+001	 0.69300356E+001
 0.80000000E+002	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.10875445E+002	 0.13080503E+001	 0.13077465E+001	 0.22861946E+001
 0.80000000E+002	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.42149008E+002	 0.13080503E+001	 0.13081857E+001	 0.16933734E+001
 0.16000000E+003	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.66950903E+002	 0.13080503E+001	 0.13077462E+001	 0.24273336E+001
 0.16000000E+003	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.87309097E+001	 0.13080503E+001	 0.13078154E+001	 0.19184590E+002
 0.16000000E+003	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.22441807E+002	 0.13080503E+001	 0.13081960E+001	 0.26255411E+001
 0.16000000E+003	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.80031642E+002	 0.13080503E+001	 0.13081727E+001	 0.18582962E+001
 0.32000000E+003	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.12355809E+003	 0.13080503E+001	 0.13087885E+001	 0.42992019E+001
 0.32000000E+003	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.17661505E+002	 0.13080503E+001	 0.13045406E+001	 0.74392516E+002
 0.32000000E+003	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.45882212E+002	 0.13080503E+001	 0.13080741E+001	 0.30401509E+001
 0.32000000E+003	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.14972775E+003	 0.13080503E+001	 0.13078631E+001	 0.20703791E+001
 0.64000000E+003	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.23479240E+003	 0.13080503E+001	 0.13058752E+001	 0.78701007E+001
 0.64000000E+003	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.36887099E+002	 0.13080503E+001	 0.12724328E+001	 0.67310937E+002
 0.64000000E+003	 0.30000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.92113423E+002	 0.13080503E+001	 0.13082914E+001	 0.35469974E+001
 0.64000000E+003	 0.40000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.28657004E+003	 0.13080503E+001	 0.13076703E+001	 0.23375526E+001
 0.12800000E+004	 0.10000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.45571774E+003	 0.13080503E+001	 0.13049280E+001	 0.18419794E+002
 0.12800000E+004	 0.20000000E+001	 0.30000000E+001	 0.10000000E+001	 0.30000000E+001	 0.74509242E+002	 0.13080503E+001	 0.13446670E+001	 0.65661720E+003
