#Nperloop       	flag            	chi             	surf_dist       	Time            	time_taken      	anlt            	num_mean        	num_std         
 0.10000000E+002	 0.10000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.43486818E+002	 0.13153252E+001	 0.13153161E+001	 0.14633381E+001
 0.10000000E+002	 0.20000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.64260945E+001	 0.13153252E+001	 0.13152590E+001	 0.21383785E+001
 0.10000000E+002	 0.30000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.12311294E+002	 0.13153252E+001	 0.13153407E+001	 0.18649137E+001
 0.10000000E+002	 0.40000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.48083094E+002	 0.13153252E+001	 0.13153447E+001	 0.14652854E+001
 0.20000000E+002	 0.10000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.90746903E+002	 0.13153252E+001	 0.13153671E+001	 0.15826871E+001
 0.20000000E+002	 0.20000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.11867907E+002	 0.13153252E+001	 0.13154052E+001	 0.36357383E+001
 0.20000000E+002	 0.30000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.24799210E+002	 0.13153252E+001	 0.13153914E+001	 0.21411023E+001
 0.20000000E+002	 0.40000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.10208544E+003	 0.13153252E+001	 0.13153237E+001	 0.15562557E+001
 0.40000000E+002	 0.10000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.18260854E+003	 0.13153252E+001	 0.13153185E+001	 0.18118360E+001
 0.40000000E+002	 0.20000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.22889241E+002	 0.13153252E+001	 0.13153843E+001	 0.10504323E+002
 0.40000000E+002	 0.30000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.50888549E+002	 0.13153252E+001	 0.13153288E+001	 0.24872036E+001
 0.40000000E+002	 0.40000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.20986477E+003	 0.13153252E+001	 0.13153715E+001	 0.16773649E+001
 0.80000000E+002	 0.10000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.34629486E+003	 0.13153252E+001	 0.13154336E+001	 0.23271426E+001
 0.80000000E+002	 0.20000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.44602951E+002	 0.13153252E+001	 0.13160194E+001	 0.62773193E+002
 0.80000000E+002	 0.30000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.10786603E+003	 0.13153252E+001	 0.13153369E+001	 0.29126145E+001
 0.80000000E+002	 0.40000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.40620431E+003	 0.13153252E+001	 0.13152983E+001	 0.18347607E+001
 0.16000000E+003	 0.10000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.63109142E+003	 0.13153252E+001	 0.13153177E+001	 0.38444186E+001
 0.16000000E+003	 0.20000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.87703807E+002	 0.13153252E+001	 0.13040595E+001	 0.11660535E+003
 0.16000000E+003	 0.30000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.22162121E+003	 0.13153252E+001	 0.13152807E+001	 0.34291846E+001
 0.16000000E+003	 0.40000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.75333588E+003	 0.13153252E+001	 0.13153697E+001	 0.20365520E+001
 0.32000000E+003	 0.10000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.11752088E+004	 0.13153252E+001	 0.13149355E+001	 0.94597147E+001
 0.32000000E+003	 0.20000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.17709212E+003	 0.13153252E+001	 0.12802822E+001	 0.29930899E+003
 0.32000000E+003	 0.30000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.45008470E+003	 0.13153252E+001	 0.13153268E+001	 0.40509708E+001
 0.32000000E+003	 0.40000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.14179132E+004	 0.13153252E+001	 0.13153009E+001	 0.22904247E+001
 0.64000000E+003	 0.10000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.22594737E+004	 0.13153252E+001	 0.13153793E+001	 0.31954462E+002
 0.64000000E+003	 0.20000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.36918870E+003	 0.13153252E+001	 0.12126805E+001	 0.39484984E+003
 0.64000000E+003	 0.30000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.88949871E+003	 0.13153252E+001	 0.13153575E+001	 0.47994400E+001
 0.64000000E+003	 0.40000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.27397888E+004	 0.13153252E+001	 0.13152166E+001	 0.26072334E+001
 0.12800000E+004	 0.10000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.44239275E+004	 0.13153252E+001	 0.13165594E+001	 0.14858070E+003
 0.12800000E+004	 0.20000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.75007860E+003	 0.13153252E+001	 0.11263638E+001	 0.40606131E+003
 0.12800000E+004	 0.30000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.17269345E+004	 0.13153252E+001	 0.13149580E+001	 0.56887549E+001
 0.12800000E+004	 0.40000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.53922178E+004	 0.13153252E+001	 0.13154993E+001	 0.29995537E+001
 0.25600000E+004	 0.10000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.87391191E+004	 0.13153252E+001	 0.13012015E+001	 0.18347556E+003
 0.25600000E+004	 0.20000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.15288646E+004	 0.13153252E+001	 0.10325902E+001	 0.53026413E+003
 0.25600000E+004	 0.30000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.34101673E+004	 0.13153252E+001	 0.13154725E+001	 0.67576346E+001
 0.25600000E+004	 0.40000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.10742965E+005	 0.13153252E+001	 0.13151611E+001	 0.34770693E+001
 0.51200000E+004	 0.10000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.17314560E+005	 0.13153252E+001	 0.14971820E+001	 0.59625449E+004
 0.51200000E+004	 0.20000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.30833987E+004	 0.13153252E+001	 0.10163378E+001	 0.19009666E+004
 0.51200000E+004	 0.30000000E+001	 0.12000000E+002	 0.10000000E+001	 0.20000000E+001	 0.19809455E+005	 0.13153252E+001	 0.13152178E+001	 0.80246525E+001
